"","value","date"
"213",361162,"11/2/2013"
"214",237197,"11/2/2019"
"215",318370,"11/20/2004"
"216",409770,"11/20/2010"
"217",458607,"11/21/2009"
"218",261081,"11/21/2015"
"219",355174,"11/22/2003"
"220",534153,"11/22/2008"
"221",292905,"11/22/2014"
"222",382759,"11/23/2002"
"223",320267,"11/23/2013"
"224",215421,"11/23/2019"
"225",600932,"11/24/2001"
"226",458764,"11/24/2007"
"227",496309,"11/24/2012"
"228",316015,"11/24/2018"
"229",442847,"11/25/2000"
"230",444911,"11/25/2006"
"231",318289,"11/25/2017"
"232",441502,"11/26/2005"
"233",525898,"11/26/2011"
"234",349563,"11/26/2016"
"235",470544,"11/27/2004"
"236",582850,"11/27/2010"
"237",670369,"11/28/2009"
"238",382352,"11/28/2015"
"239",482865,"11/29/2003"
"240",755824,"11/29/2008"
"241",386908,"11/29/2014"
"242",452027,"11/3/2001"
"243",348743,"11/3/2007"
"244",475740,"11/3/2012"
"245",234208,"11/3/2018"
"246",544147,"11/30/2002"
"247",460667,"11/30/2013"
"248",315891,"11/30/2019"
"249",290634,"11/4/2000"
"250",283082,"11/4/2006"
"251",229427,"11/4/2017"
"252",280987,"11/5/2005"
"253",359173,"11/5/2011"
"254",222421,"11/5/2016"
"255",309044,"11/6/2004"
"256",405608,"11/6/2010"
"257",474843,"11/7/2009"
"258",262960,"11/7/2015"
"259",345129,"11/8/2003"
"260",509556,"11/8/2008"
"261",284395,"11/8/2014"
"262",370051,"11/9/2002"
"263",324838,"11/9/2013"
"264",226295,"11/9/2019"
"265",487616,"12/1/2001"
"266",420202,"12/1/2007"
"267",425649,"12/1/2012"
"268",259847,"12/1/2018"
"269",356615,"12/10/2005"
"270",417267,"12/10/2011"
"271",313405,"12/10/2016"
"272",372334,"12/11/2004"
"273",491512,"12/11/2010"
"274",566947,"12/12/2009"
"275",317438,"12/12/2015"
"276",421133,"12/13/2003"
"277",715531,"12/13/2008"
"278",338434,"12/13/2014"
"279",479980,"12/14/2002"
"280",415577,"12/14/2013"
"281",285337,"12/14/2019"
"282",525406,"12/15/2001"
"283",453232,"12/15/2007"
"284",453361,"12/15/2012"
"285",289641,"12/15/2018"
"286",477100,"12/16/2000"
"287",421523,"12/16/2006"
"288",321630,"12/16/2017"
"289",429783,"12/17/2005"
"290",494400,"12/17/2011"
"291",340971,"12/17/2016"
"292",443481,"12/18/2004"
"293",522170,"12/18/2010"
"294",557643,"12/19/2009"
"295",344346,"12/19/2015"
"296",386141,"12/2/2000"
"297",381324,"12/2/2006"
"298",275657,"12/2/2017"
"299",513419,"12/20/2003"
"300",714832,"12/20/2008"
"301",387851,"12/20/2014"
"302",617300,"12/21/2002"
"303",450004,"12/21/2013"
"304",311128,"12/21/2019"
"305",643741,"12/22/2001"
"306",505823,"12/22/2007"
"307",487369,"12/22/2012"
"308",325403,"12/22/2018"
"309",564988,"12/23/2000"
"310",498878,"12/23/2006"
"311",348854,"12/23/2017"
"312",472927,"12/24/2005"
"313",536515,"12/24/2011"
"314",348570,"12/24/2016"
"315",537428,"12/25/2004"
"316",575127,"12/25/2010"
"317",647004,"12/26/2009"
"318",404906,"12/26/2015"
"319",550038,"12/27/2003"
"320",729714,"12/27/2008"
"321",438703,"12/27/2014"
"322",616955,"12/28/2002"
"323",487837,"12/28/2013"
"324",334151,"12/28/2019"
"325",634277,"12/29/2001"
"326",522030,"12/29/2007"
"327",554755,"12/29/2012"
"328",348695,"12/29/2018"
"329",389332,"12/3/2005"
"330",432508,"12/3/2011"
"331",303394,"12/3/2016"
"332",554099,"12/30/2000"
"333",505075,"12/30/2006"
"334",401647,"12/30/2017"
"335",552101,"12/31/2005"
"336",643085,"12/31/2011"
"337",412501,"12/31/2016"
"338",367943,"12/4/2004"
"339",488108,"12/4/2010"
"340",556979,"12/5/2009"
"341",311487,"12/5/2015"
"342",409567,"12/6/2003"
"343",626063,"12/6/2008"
"344",325841,"12/6/2014"
"345",482463,"12/7/2002"
"346",412169,"12/7/2013"
"347",268931,"12/7/2019"
"348",437340,"12/8/2001"
"349",390754,"12/8/2007"
"350",398216,"12/8/2012"
"351",253650,"12/8/2018"
"352",399120,"12/9/2000"
"353",359042,"12/9/2006"
"354",282337,"12/9/2017"
"355",433944,"2/1/2003"
"356",357383,"2/1/2014"
"357",217271,"2/1/2020"
"358",341274,"2/10/2001"
"359",302744,"2/10/2007"
"360",210218,"2/10/2018"
"361",266336,"2/11/2006"
"362",342439,"2/11/2012"
"363",237429,"2/11/2017"
"364",276710,"2/12/2000"
