"","value","date"
"931",172175,"8/25/2018"
"932",238836,"8/26/2000"
"933",255435,"8/26/2006"
"934",248670,"8/26/2017"
"935",267388,"8/27/2005"
"936",345722,"8/27/2011"
"937",215701,"8/27/2016"
"938",271948,"8/28/2004"
"939",376716,"8/28/2010"
"940",464930,"8/29/2009"
"941",229807,"8/29/2015"
"942",328164,"8/3/2002"
"943",279267,"8/3/2013"
"944",185050,"8/3/2019"
"945",319291,"8/30/2003"
"946",330805,"8/30/2008"
"947",232495,"8/30/2014"
"948",314791,"8/31/2002"
"949",227407,"8/31/2013"
"950",158759,"8/31/2019"
"951",327624,"8/4/2001"
"952",261189,"8/4/2007"
"953",313359,"8/4/2012"
"954",177870,"8/4/2018"
"955",257122,"8/5/2000"
"956",251929,"8/5/2006"
"957",195992,"8/5/2017"
"958",252625,"8/6/2005"
"959",342375,"8/6/2011"
"960",217355,"8/6/2016"
"961",259386,"8/7/2004"
"962",399811,"8/7/2010"
"963",456542,"8/8/2009"
"964",226625,"8/8/2015"
"965",308156,"8/9/2003"
"966",335031,"8/9/2008"
"967",246604,"8/9/2014"
"968",305680,"9/1/2001"
"969",242213,"9/1/2007"
"970",295601,"9/1/2012"
"971",161235,"9/1/2018"
"972",342242,"9/10/2005"
"973",349958,"9/10/2011"
"974",203756,"9/10/2016"
"975",274296,"9/11/2004"
"976",378003,"9/11/2010"
"977",437541,"9/12/2009"
"978",217212,"9/12/2015"
"979",297941,"9/13/2003"
"980",392857,"9/13/2008"
"981",237543,"9/13/2014"
"982",313371,"9/14/2002"
"983",253096,"9/14/2013"
"984",173922,"9/14/2019"
"985",348457,"9/15/2001"
"986",244476,"9/15/2007"
"987",300093,"9/15/2012"
"988",171525,"9/15/2018"
"989",217879,"9/16/2000"
"990",257950,"9/16/2006"
"991",212164,"9/16/2017"
"992",288929,"9/17/2005"
"993",323902,"9/17/2011"
"994",196886,"9/17/2016"
"995",276897,"9/18/2004"
"996",367960,"9/18/2010"
"997",445177,"9/19/2009"
"998",212830,"9/19/2015"
"999",225273,"9/2/2000"
"1000",236592,"9/2/2006"
"1001",211323,"9/2/2017"
"1002",301579,"9/20/2003"
"1003",387911,"9/20/2008"
"1004",225576,"9/20/2014"
"1005",315296,"9/21/2002"
"1006",249016,"9/21/2013"
"1007",171730,"9/21/2019"
"1008",395736,"9/22/2001"
"1009",252373,"9/22/2007"
"1010",297381,"9/22/2012"
"1011",170454,"9/22/2018"
"1012",221767,"9/23/2000"
"1013",246499,"9/23/2006"
"1014",202986,"9/23/2017"
"1015",310622,"9/24/2005"
"1016",328333,"9/24/2011"
"1017",198508,"9/24/2016"
"1018",275180,"9/25/2004"
"1019",369612,"9/25/2010"
"1020",452031,"9/26/2009"
"1021",225049,"9/26/2015"
"1022",334458,"9/27/2003"
"1023",422855,"9/27/2008"
"1024",255100,"9/27/2014"
"1025",361303,"9/28/2002"
"1026",332326,"9/28/2013"
"1027",186126,"9/28/2019"
"1028",435426,"9/29/2001"
"1029",294804,"9/29/2007"
"1030",325915,"9/29/2012"
"1031",191863,"9/29/2018"
"1032",318814,"9/3/2005"
"1033",324267,"9/3/2011"
"1034",191394,"9/3/2016"
"1035",288775,"9/30/2000"
"1036",303372,"9/30/2006"
"1037",227448,"9/30/2017"
"1038",247786,"9/4/2004"
"1039",338021,"9/4/2010"
"1040",410419,"9/5/2009"
"1041",196989,"9/5/2015"
"1042",324941,"9/6/2003"
"1043",375821,"9/6/2008"
"1044",239930,"9/6/2014"
"1045",333458,"9/7/2002"
"1046",269854,"9/7/2013"
"1047",171518,"9/7/2019"
"1048",312922,"9/8/2001"
"1049",258014,"9/8/2007"
"1050",327092,"9/8/2012"
"1051",172245,"9/8/2018"
"1052",241301,"9/9/2000"
"1053",262935,"9/9/2006"
"1054",210263,"9/9/2017"
