country,region,link
Mauritania,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_MRT.pdf
Mexico,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_MEX.pdf
"Micronesia, Fed Sts",East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_FSM.pdf
Mongolia,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_MNG.pdf
Morocco,Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_MAR.pdf
Mozambique,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_MOZ.pdf
Myanmar,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_MMR.pdf
Namibia,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_NAM.pdf
Nepal,South Asia,https://www.cgdev.org/sites/default/files/SAS_NPL.pdf
Nicaragua,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_NIC.pdf
Niger,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_NER.pdf
Nigeria,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_NGA.pdf
Pakistan,South Asia,https://www.cgdev.org/sites/default/files/SAS_PAK.pdf
Papua New Guinea,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_PNG.pdf
Paraguay,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_PRY.pdf
Peru,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_PER.pdf
Philippines,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_PHL.pdf
Rwanda,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_RWA.pdf
Samoa,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_WSM.pdf
Sao Tome and Principe,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_STP.pdf
Senegal,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_SEN.pdf
Sierra Leone,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_SLE.pdf
Solomon Islands,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_SLB.pdf
Somalia,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_SOM.pdf
South Africa,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_ZAF.pdf
South Sudan,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_SSD.pdf
Sri Lanka,South Asia,https://www.cgdev.org/sites/default/files/SAS_LKA.pdf
St Lucia,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_LCA.pdf
